2022-12-05 13:48:01 - root - INFO      - verify.py : 205 line - Namespace(batch_size=16, cifar100_path='./.dataset/cifar100', cuda=False, load_path='./.mobilenet/project_2.pt', log_path='./.log/somelog.log', mobilenet_path='./.mobilenet', n_layers=1, topk=[1, 3, 5, 10, 15, 20], transformer_path='./.transformer/clip-vit-base-patch32')
2022-12-05 13:48:01 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 13:48:02 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/config.json HTTP/1.1" 200 0
2022-12-05 13:48:04 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 13:48:04 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/preprocessor_config.json HTTP/1.1" 200 0
2022-12-05 13:48:04 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 13:48:05 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top1:0.0781(0.06833110565474555)
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top3:0.165(0.09347459547919959)
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top5:0.2269(0.10699364467107382)
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top10:0.3385(0.11973512433701315)
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top15:0.4167(0.1260649039185768)
2022-12-05 14:04:15 - root - INFO      - verify.py : 157 line - top20:0.4826(0.12468857205052915)
