2022-12-05 14:08:58 - root - INFO      - verify.py : 204 line - Namespace(batch_size=16, cifar100_path='./.dataset/cifar100', cuda=False, load_path='./.mobilenet/project_2.pt', log_path='.log/og_vit_base.log', mobilenet_path='./.mobilenet', n_layers=1, topk=[1, 3, 5, 10, 15, 20], transformer_path='./.transformer/clip-vit-base-patch32')
2022-12-05 14:08:58 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 14:08:58 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/config.json HTTP/1.1" 200 0
2022-12-05 14:09:01 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 14:09:01 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/preprocessor_config.json HTTP/1.1" 200 0
2022-12-05 14:09:01 - urllib3.connectionpool - DEBUG     - connectionpool.py : 1003 line - Starting new HTTPS connection (1): huggingface.co:443
2022-12-05 14:09:02 - urllib3.connectionpool - DEBUG     - connectionpool.py : 456 line - https://huggingface.co:443 "HEAD /openai/clip-vit-base-patch32/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top1:0.5515(0.12680299681001236)
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top3:0.7439(0.11233450048849641)
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top5:0.8134(0.10077420304820078)
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top10:0.8925(0.07937253933193772)
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top15:0.9282(0.06399031176670418)
2022-12-05 14:24:54 - root - INFO      - verify.py : 156 line - top20:0.9451(0.05515650460281181)
